,summary_gpt,summary_t5,summary_actual,index,input,
10,"Wireless mice are prone to being hacked into so that they send information about where and when they are sitting to attackers, as well as some sensitive data.","Researchers have found weaknesses in the way wireless mice communicate with computers, making it possible for hackers to spoof them, it has been revealed.","Hackers could gain access to home and corporate networks via security flaws in wireless mice, suggests research.",11,"Weaknesses in the way mice swapped data with computers left them vulnerable, said security firm Bastille Networks.
Attackers could spoof poorly protected signals letting them use PCs as if they were sitting in front of them, it said.
Information about the loopholes have been passed to the makers of vulnerable mice, some of who are creating updates to make the mice more secure.
The radio signals sent by many wireless mice to a ""dongle"" plugged in to a computer were often unencrypted, said Marc Newlin and Balint Seeber, from Bastille, who carried out the research.
""That makes it possible for the attacker to send unencrypted traffic to the dongle pretending to be a keyboard and have it result as keystrokes on your computer,"" Mr Newlin said.
By contrast, they said, signals sent by wireless keyboards were scrambled to stop attackers eavesdropping on or spoofing them.
The pair found they could spoof signals for mice using a few lines of code and an antenna and dongle that cost $20 (Â£15).
The attack worked at distances of up to 180m (590ft).
Using this kit, they sent specially crafted mouse clicks that a computer interpreted as key presses, letting them run commands and take control of a target machine.
The Bastille researchers said many companies spent a lot of time and money securing the physical devices sitting on their networks but often neglected to keep an eye on data sent via radio.
Wireless mice produced by HP, Lenovo, Amazon and Dell were found to be vulnerable.
Bastille said it had reported its findings to the hardware makers and to the company that made the chipset used inside the spoofable mice.
Updates to the internal computer code, or firmware, for some of the vulnerable mice are now being made available,
But Bastille said many of the insecure mice it had found could not be updated.","Hackers could gain access to home and corporate networks via security flaws in wireless mice, suggests research."
11,A chain of hotels has gone into administration amid plans to shut its doors.,"Workers at a building firm in the South of Scotland have been laid off following a ""sad day for the Borders"", the Scottish Government has said.",Dozens of jobs have been lost after efforts to save an historic building firm in the Scottish Borders failed.,12,"Administrators confirmed the redundancies affecting 38 staff at Galashiels-based Murray and Burrell.
The business, established in 1928, went into administration last week citing ""adverse trading conditions"".
There are hopes some of the workers affected could find posts at another building firm in nearby Melrose which currently requires staff.
Thomson Cooper partner Richard Gardiner was appointed as administrator at Murray and Burrell on Monday.
A statement confirmed: ""Directors explored all options in an effort to preserve trading and jobs.
""Regrettably, 38 jobs were lost as there is no prospect of continuing to trade.""
South of Scotland MSP Rachael Hamilton described it as a ""sad day for the Borders"".
However, some of the workers laid off could find employment with a Melrose-based company.
JS Crawford has said that, with several housing projects on its books, it needs staff.",Dozens of jobs have been lost after efforts to save an historic building firm in the Scottish Borders failed.
12,The European Commission has begun an investigation into Luxembourg's tax arrangements at the heart of the so-called Apple tax dispute.,"Luxembourg is ""confident"" it will be able to convince the European Commission of the legitimacy of Amazon's ""anticipated decision"" in Luxembourg, the Commission has said.","The European Commission has disclosed a preliminary finding that Amazon's tax arrangements in Luxembourg probably constitute ""state aid"".",13,"The EC's doubts about the arrangement were detailed in a document on Friday.
The EC said that its ""preliminary view is that the tax ruling... by Luxembourg in favour of Amazon constitutes state aid.""
However, Amazon said it ""has received no special tax treatment from Luxembourg"".
""We are subject to the same tax laws as other companies operating here [in Luxembourg],"" it said.
The Luxembourg finance ministry said: ""Luxembourg is confident that the state aid allegations in this case are without merit and will be able to convince the Commission of the legitimacy of the anticipatory decision in question and that no competitive advantage was granted,"" it said.
The European Commission began a probe of the tax arrangement last year, saying that it had suspicions it broke EU rules.
The Commission document, which was sent to the Luxembourg Ministry of Foreign Affairs in October, gives its rationale for launching the investigation.
The Commission said it had ""no indication"" that the tax arrangement was ""compatible with the internal market"".
The current European Commission chief, Jean-Claude Juncker, was prime minister of Luxembourg when the deal was struck.
Mr Juncker has come under pressure over claims that around 340 global companies were granted tax  avoidance deals during his 18 year tenure in Luxembourg.
Commission doubts over the Amazon deal included whether Luxembourg had properly looked into Amazon's ""transfer pricing"" proposals about how money would be moved between different Amazon subsidiaries.
Doubts also existed about whether the country had assessed that the proposed tax regime was in line with market conditions before agreeing the deal in 2003, the European Commission document said.
The Commission also had questions about how royalty payments between certain Amazon companies were calculated, and whether ""Amazon has a financial incentive to exaggerate the amount of the royalty"" between its Luxembourg head office company and an Amazon firm that holds shares in the head office company.
""If the royalty is exaggerated, it would unduly reduce the tax paid by Amazon in Luxembourg by shifting profits to an untaxed entity from the perspective of corporate taxation,"" the EC said.
It added that Luxembourg might have been too hasty in assessing Amazon's requested arrangement before striking the deal.
Luxembourg's finance ministry said it ""has provided all the information required by the Commission and cooperated fully with the Commission in its investigation.""
""Among other things, detailed reports on the transfer price requested by the Commission were disclosed,"" it added.
Luxembourg is also being investigated by the Commission over suspected ""sweetheart"" tax deals with the financing arm of carmaker Fiat.
In addition, Ireland's tax deal with Apple and the Netherlands' arrangement with Starbucks are being scrutinised as part of a crackdown on multinationals' tax avoidance schemes.","The European Commission has disclosed a preliminary finding that Amazon's tax arrangements in Luxembourg probably constitute ""state aid""."
13,"A farming festival that celebrates Irish heritage, food from Northern Ireland and the best of local products in a north Belfast park is to return to the city for the first time in a decade.","The annual Balmoral Show is being held at the former Maze prison in Ulster, where the best of Northern Ireland's agricultural heritage is showcased.",The most important event in Northern Ireland's agricultural calendar - the Balmoral Show - has opened with thousands of people attending.,14,"The three-day extravaganza of farming, food and family fun celebrates many aspects of agricultural life.
The Balmoral Show is run by the Royal Ulster Agricultural Society (RUAS) and dates back 148 years.
Last year, it attracted more than 90,000 visitors to its recently-adopted home outside Lisburn in County Antrim.
It was traditionally staged at the RUAS's headquarters in south Belfast, but the show moved to a larger venue on the site of the former Maze prison in 2013.
The Maze venue, re-named Balmoral Park, is now hosting the show for the fourth consecutive year.
The 2016 event coincides with Northern Ireland's Year of Food and Drink, and local produce features prominently in the exhibitions.
One of this year's highlights is an ""edible garden"", in which visitors can see their food growing in the ground before it gets to their plates.
The aim of the garden is to encourage people to grow their own food at home.
The event will also showcase the best of local livestock, with prized pigs, cattle, poultry and ponies all lining up in bid to be the stars of the show.
Their owners will also get a chance to shine, with horse riding and show jumping displays along with sheep shearing competitions and awards for the best livestock breeders and handlers.
For younger visitors, there is a family fun area hosting displays from the Northern Ireland School of Falconry as well as a gun dog skills demonstration and a performance from balloon artist Bruce Airhead.
BBC News NI are covering the event live on social media on Wednesday on Twitter at @BBCNewsNI, on Snapchat at bbcnewsni, and on BBC Newsline's Facebook page.",The most important event in Northern Ireland's agricultural calendar - the Balmoral Show - has opened with thousands of people attending.
14,A court in London has rejected a legal bid by a former tabloid journalist claiming he was wrongly accused of an alleged Nazi event organised by the man considered as one of the fathers of modern fascism Sir Oswald Mosley.,The son of Nazi leader Oswald Mosley has launched a legal action against Google after it published a story alleging he organised a Nazi-themed sex party.,Google has asked the High Court to throw out legal action being taken by ex-Formula 1 boss Max Mosley.,15,"Mr Mosley wants Google to block photos of him at a sex party first printed in the now-defunct News of the World, which he successfully sued in 2008.
He is suing the internet firm for breaches of the Data Protection Act and misusing private information.
Google's barrister argued that Mr Mosley no longer has a ""reasonable expectation of privacy"".
Mr Mosley won damages from the News of the World after it published a story alleging he had organised a Nazi-themed orgy.
Photographs and a video which show his private sexual activity were originally obtained by News Group Newspapers Limited (NGN) in a clandestine ""sting"" operation.
Mr Mosley - the son of 1930s fascist leader Sir Oswald Mosley - won Â£60,000 after a judge ruled there was no substance to the allegation that there had been a Nazi theme to the sex party and found that his privacy had been breached.
In that ruling, the High Court also said the article was not in the public interest.
Mr Mosley has said the role-play at a rented Chelsea basement flat was harmless, consensual and private.
On launching his legal action last year, Mr Mosley urged: ""Google should operate within the law rather than according to rules it makes itself. It cannot be allowed to ignore judgements in our courts.""
Google has said it will remove URLs that it is alerted to, but is not prepared to remove the images entirely from its search engines.
In court on Wednesday, Google's barrister Antony White QC for Google conceded that it was technically possible to remove the images and was ""not burdensome"" to do so.
However, he argued that Google was not the publisher of the private information, and that Mr Mosley no longer had a reasonable expectation of privacy in relation to the images.
On that basis, Google will seek to show that Mr Mosley's claim is unfounded.
The hearing is due to conclude on Thursday.",Google has asked the High Court to throw out legal action being taken by ex-Formula 1 boss Max Mosley.
15,Dragons lock Tyrone Jackson has been ruled out of Scotland duty for up to three months with a shoulder injury.,"Eddie Jackson's loss to Bath Dragons will be a ""big blow,"" coach Ceri Jones has said, adding: ""He has really stepped up to the mark"".",Newport Gwent Dragons number eight Ed Jackson has undergone shoulder surgery and faces a spell on the sidelines.,16,"The Bath-born player, 28, has made 36 appearances for the Dragons since joining from Wasps in 2015.
He is in his second season and signed a contract extension in December 2016.
Dragons forwards coach Ceri Jones said: ""It's a big blow. Eddie has been excellent all year for us, he has really stepped up to the mark and will be a big loss.""
However, Jones says Jackson's misfortune can be a chance for others to thrive.
""We are very fortunate to have the likes of Ollie Griffiths, Harrison Keddie, James Thomas who can come into the back-row,"" said Jackson.
""Harri has shown glimpses of what he can do all season and there's definitely a player there, so this is an opportunity.""
Dragons travel to Munster in the Pro12 on Friday.",Newport Gwent Dragons number eight Ed Jackson has undergone shoulder surgery and faces a spell on the sidelines.
16,"An investment of about Â£ Â£200,000 is set to build on the success of a new Cornwall-based support service to help develop the language.","Support for the Cornish language will have to come from Cornwall and not London, the government has said in a letter to the Minister of Local Government.","The government is spending nearly £400,000 to help save the Cornish language.",17,"The announcement ends months of uncertainty for Cornish Language Partnership staff whose contracts had been due to end.
Local government minister Andrew Stunnell said the three-year funding package for the service would help make sure the language survived.
But he warned that long term funding should come from Cornwall.
He said it was ""important to make sure the Cornish were given the opportunity to put down sound foundations.""
""In the longer term support for the Cornish language is going to be something which is going to have to be based in Cornwall and will not come from London,"" he added.
The Cornish Language Partnership's, Jennifer Lowe, said: ""We can now plan for the future thanks to the funding.""
The United Nations recently upgraded the status of the Cornish language from ""extinct"" to ""critically endangered"".
It is thought fewer than 500 people worldwide are fluent in the language.","The government is spending nearly £400,000 to help save the Cornish language."
17,"Monaco have sacked Marcelo Jardim, they have told Sportscar365.","Monaco boss Alain Jardim says he feels ""part of AS Monaco and the principality"", despite other offers to coach elsewhere.",Monaco boss Leonardo Jardim has been rewarded for steering the club to their first Ligue 1 title for 17 years with a new contract until 2020.,18,"Jardim, in charge since 2014, described the last three years at the club as ""exceptional"".
Monaco finished eight points ahead of nearest rivals Paris St-Germain to be crowned champions of France in 2016-17.
""I feel part of AS Monaco and the principality,"" said Portuguese Jardim, the former Olympiakos boss.
Monaco also beat Tottenham and Manchester City on their way to reaching the semi-finals of the Champions League during 2016-17, before losing to Juventus 4-1 on aggregate in the semi-finals.
Monaco vice-president Vadim Vasilyev said Jardim had received offers to coach elsewhere.
""He is one of the best coaches in European football and despite other offers he has chosen to continue the adventure at Monaco, which demonstrates our ambition,"" added Vasilyev.",Monaco boss Leonardo Jardim has been rewarded for steering the club to their first Ligue 1 title for 17 years with a new contract until 2020.
18,"Nicaragua's National Electoral Council (CNE) rejected an international appeal to the United Nations to hold the May 6 elections, after it said 80% of polling stations had been closed.","Nicaragua's president Daniel Ortega has won the first round of voting in a presidential election, the State Department has said, citing a lack of international observers.","The US says it is ""deeply concerned"" about the electoral process in Nicaragua a day after Daniel Ortega, the left-wing leader, won a third consecutive presidential term.",19,"A State Department spokesman said the election process was flawed and could not be seen as free and fair.
He said the Ortega government had side-lined opposition candidates and limited monitoring of the polls.
Daniel Ortega won 72.5% of the vote with 99.8% of the ballots counted.
His closest rival, centre-right candidate Maximino Rodriguez, only received 14.2% of the vote.
The State Department's Mark Toner  said the Ortega government had not invited international election observers, which he said, ""further degraded the legitimacy of the election"".
""We continue to press the Nicaraguan government to uphold democratic practices, including press freedom and respect for universal human rights in Nicaragua,"" he added.
Mr Ortega had been widely expected to win both due to the popularity of his social programmes and because he faced no obvious political challenger.
A former left-wing rebel, Mr Ortega has led Nicaragua through a period of economic stability which has made him popular with the country's business sector and foreign investors.
Supporters of Mr Ortega took to the streets to celebrate his victory.
But even before the first results were announced, members of the opposition coalition Broad Front for Democracy (FAD) called the elections a ""farce"".
The FAD, which had urged voters to boycott the election, alleged that more than 70% had abstained from voting.
They were contradicted by the electoral authorities which put voter participation at 65.8%.
Mr Ortega's running mate was his wife, Rosario Murillo, who now looks set to become vice-president.
Analysts say that Ms Murillo already shares decision-making with Mr Ortega and could become president if her 70-year-old husband were to bow out.
Nicaragua's economy has grown at double the Latin American average, but the country still needs to attract more foreign investment.
A $50bn (£40bn) plan to build an interoceanic canal across Nicaragua with Chinese investment has gained international attention, but there are serious doubts over whether it will ever be built.
The country has been able to avoid the sky-high murder rates of some of its Central American neighbours but it also faces the ever pervasive threat of drug-trafficking.","The US says it is ""deeply concerned"" about the electoral process in Nicaragua a day after Daniel Ortega, the left-wing leader, won a third consecutive presidential term."
19,South Africans and gay rights campaigners are calling on the government to classify the lynching of an activist as a hate crime.,South Africa's police have set up a task force to investigate the killing and rape of a lesbian activist in a township near Johannesburg.,"South Africa is to set up a team to tackle hate crimes against gay people, the justice ministry says.",20,"The decision comes after 170,000 activists from around the world demanded action to help lesbians targeted for ""corrective rape"".
The authorities have been accused of not doing enough following the recent killing and rape of lesbian activist Noxolo Nogwaza.
Police say they do not consider sexual orientation when investigating murder.
""To us, murder is murder, whether somebody is Zulu, English, male or female - we don't see colour, we don't see gender,"" police ministry spokesman Zweli Mnisi told the BBC on Tuesday, after rights groups urged the police to do more to find those responsible Ms Nogwaza's death.
She was stoned, stabbed and gang-raped in the KwaThema township east of Johannesburg over the Easter weekend.
Unlike in many African countries, homosexual acts are legal in South Africa and discrimination based on sexual orientation is banned, but activists say gay and lesbian people are often attacked in townships.
They say ""corrective rape"" - when a lesbian is raped to either punish her, or ""correct"" her behaviour - is becoming increasingly common.
Ndumie Funda, founder of the gay rights organisation Luleki Sizwe which works in 10 black townships and rural areas near Cape Town, welcomed the government's announcement.
She said it was important to get ""corrective rape"" classified as a hate crime.
""The South African constitution is one of the highly respected and acknowledged constitutions and it says we are all equal; we're therefore reminding our government to say that this was being promised and we voted for you so we need protection,"" she told the BBC's Network Africa programme.
Luleki Sizwe started an online petition at Change.org to get the government to take action.
""In less than six months, a tiny group of township activists has mobilised more than 170,000 people from 163 countries and gotten the highest levels of government to address their basic demand, that the sadistic crime of 'corrective rape' be taken seriously,"" Change.org representative Benjamin Joffe-Walt is quoted by the Sapa news agency as saying.
Justice ministry spokesman Tlali Tlali said the the task team would begin its work in July and include six representatives from the judiciary, police and department of social development and six representatives from the gay community.
""The team will be charged with developing a legislative intervention plan, a public awareness strategy, and LGBTI [lesbian, gay, bisexual, transgender and intersex]-sensitive shelters,"" he said.
In 2008, female footballer and gay rights activist Eudy Simelane was also killed in KwaThema, some 80km (50 miles) east of Johannesburg.
Two people were given long prison terms for her murder and rape, although prosecutors denied that her sexuality had been a motive.","South Africa is to set up a team to tackle hate crimes against gay people, the justice ministry says."
20,"US stocks closed lower on Wednesday after reports a growing number of US oil companies were cutting production, despite forecasts of a rise in demand.","Stocks in the US energy sector fell as banks reported a 27% fall in quarterly profit, but that was not as bad as analysts had been expecting.",(Close):Wall Street markets fell on Friday as oil prices slipped ahead of a weekend meeting that could result in a freezing of production.,21,"Big oil producing nations meet this weekend in Qatar to discuss plans for a freeze in production levels.
But there is scepticism over whether such a deal would make much difference to the current oversupply of oil in the market.
The Dow Jones Industrial Average fell 28.97 points to 17,897.46.
The S&P 500 was down 2.05 points to 2,080.73. The technology focused Nasdaq Composite slipped 7.67 points to 4,938.22.
Stocks in the energy sectors fell as another US bank - Citigroup - reported it was setting cash aside to cover losses on loans to the energy industry.
Shares in banking giant Citigroup closed 0.13% down after trading mostly higher all day. It reported a 27% fall in quarterly profit, but that was not as bad as analysts had been expecting.
Shares of Marathon Petroleum were down 3.8%, Exxon Mobile fell 0.5% and Chevron was 0.75% lower.
Shares of Apple dropped 2% after a report suggested the company was cutting iPhone production in the April-June quarter due to weak sales.
Investors also had a gloomy economic report to chew over.
US industrial production fell 0.6% in March, which was a bigger drop than analysts were expecting, and followed a 0.6% decline in February.",(Close):Wall Street markets fell on Friday as oil prices slipped ahead of a weekend meeting that could result in a freezing of production.
21,The blue-coloured tarantula is not the only spider capable of being a visual signaler.,"Scientists have found that tarantulas have a very bright blue colour, which they believe is a result of genetic mutations.",Tarantulas have evolved almost exactly the same shade of vibrant blue at least eight separate times.,22,"That is the conclusion of a study by US biologists, exploring how the colour is created in different tarantula species.
The hue is caused by tiny structures inside the animals' hairs, but those shapes vary across the family tree.
This suggests, the researchers say, that the striking blue is not driven by sexual selection - unlike many other bright colours in the animal kingdom.
This argument is also supported by the fact that tarantulas have poor colour vision, and do not appear to show off their hairy blue body parts during courtship.
Nonetheless, Bor-Kai Hsiung and his colleagues found that 40 out of 53 groupings (genera) of tarantula exhibit a very vibrant blue.
""We collected published data and constructed a super-tree, which combined the previous published small trees,"" said Mr Hsiung, a PhD student at the University of Akron in Ohio and the first author of the study, published in Science Advances.
They then mapped blueness onto that evolutionary tree, based on a bank of tarantula snaps scoured from the internet.
""If the genus has at least one species that's blue, we say that's a blue genus,"" Mr Hsiung explained.
Given that scattering of blue species, he added, they then calculated ""the lowest number of changes that can produce a distribution of blue colouring like this"".
The answer? ""Eight is the lowest number, so it's [evolved] at least eight times.""
What is more, all these blue spiders evolved almost precisely the same shade; the wavelengths the team saw in the images all fell within a tight 20 nanometre range, clustered around 450nm - a bright, cobalt blue.
The team also purchased specimens of eight tarantula species, and took a close look at those blue hairs.
They used electron microscopes to zoom in on tiny shapes within the hairs and conducted simulations of how those shapes could produce a ""structural colour"" by reflecting - very specifically - this wavelength of blue light.
The results, again, pointed to the colour cropping up multiple times independently: several different types of shape could be seen, even on the same branch of the family tree.
""That's one of the reasons why it must have evolved so many times - because we don't see a very clear pattern of how these different mechanisms split,"" Mr Hsiung said.
""If we could see a clear split, then it might have evolved just one or two times. But it's all over the place.""
So why did all these different species acquire the same colour?
Given their relatively simple eyes, it is doubtful that tarantulas can distinguish this shade of blue from any other colour.
That is one of the reasons that sexual selection seems unlikely - by contrast with some other spiders, which have remarkably good vision and put on very colourful courtship displays, such as the mesmerising peacock spider.
""It evolved from multiple origins and different mechanisms produce the very same blue colour,"" Mr Hsiung said. ""That's very strong evidence to suggest that this blue colour has a very important visual signalling function.
""But if it's not for other tarantulas, then it must be to some other receivers out there.""
It may be that this colour helps conceal the critters from their prey while they hunt at night; or perhaps it serves as a warning to stop the tarantulas themselves being eaten.
""We don't know yet,"" Mr Hsiung said.
Follow Jonathan on Twitter",Tarantulas have evolved almost exactly the same shade of vibrant blue at least eight separate times.
